date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:35	19471/19471	---MCZ	200	added ('OK')	text/html	etag:W/%225f839598-4c0f%22	https://html.dynamiclayers.net/it/enros/index.html?storefront=envato-elements	C:/Users/USUARIO/Documents/ecosemyanapampa/Ecosemyanapampa/html.dynamiclayers.net/it/enros/index04b9.html	(from )
12:40:36	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Mar%202024%2017:40:36%20GMT	https://html.dynamiclayers.net/robots.txt		(from )
12:40:37	3501/3501	---M--	200	added ('OK')	image/png	etag:%225f839618-dad%22	https://html.dynamiclayers.net/it/enros/img/favicon.png	C:/Users/USUARIO/Documents/ecosemyanapampa/Ecosemyanapampa/html.dynamiclayers.net/it/enros/img/favicon.png	(from https://html.dynamiclayers.net/it/enros/index.html?storefront=envato-elements)
12:40:37	31000/31000	---M--	200	added ('OK')	text/css	etag:%225f8395b8-7918%22	https://html.dynamiclayers.net/it/enros/css/font-awesome.min.css	C:/Users/USUARIO/Documents/ecosemyanapampa/Ecosemyanapampa/html.dynamiclayers.net/it/enros/css/font-awesome.min.css	(from https://html.dynamiclayers.net/it/enros/index.html?storefront=envato-elements)
12:40:37	13862/13862	---M--	200	added ('OK')	text/css	etag:%225f8395ac-3626%22	https://html.dynamiclayers.net/it/enros/css/themify-icons.css	C:/Users/USUARIO/Documents/ecosemyanapampa/Ecosemyanapampa/html.dynamiclayers.net/it/enros/css/themify-icons.css	(from https://html.dynamiclayers.net/it/enros/index.html?storefront=envato-elements)
12:40:38	25252/25252	---M--	200	added ('OK')	text/css	etag:%225f8395b2-62a4%22	https://html.dynamiclayers.net/it/enros/css/elegant-font-icons.css	C:/Users/USUARIO/Documents/ecosemyanapampa/Ecosemyanapampa/html.dynamiclayers.net/it/enros/css/elegant-font-icons.css	(from https://html.dynamiclayers.net/it/enros/index.html?storefront=envato-elements)
12:40:38	7067/7067	---M--	200	added ('OK')	text/css	etag:%225f8395a4-1b9b%22	https://html.dynamiclayers.net/it/enros/css/elegant-line-icons.css	C:/Users/USUARIO/Documents/ecosemyanapampa/Ecosemyanapampa/html.dynamiclayers.net/it/enros/css/elegant-line-icons.css	(from https://html.dynamiclayers.net/it/enros/index.html?storefront=envato-elements)
12:40:39	2505/2505	---M--	200	added ('OK')	text/css	etag:%225f8395a8-9c9%22	https://html.dynamiclayers.net/it/enros/css/slicknav.min.css	C:/Users/USUARIO/Documents/ecosemyanapampa/Ecosemyanapampa/html.dynamiclayers.net/it/enros/css/slicknav.min.css	(from https://html.dynamiclayers.net/it/enros/index.html?storefront=envato-elements)
12:40:40	4614/4614	---M--	200	added ('OK')	text/css	etag:%225f8395b6-1206%22	https://html.dynamiclayers.net/it/enros/css/owl.carousel.css	C:/Users/USUARIO/Documents/ecosemyanapampa/Ecosemyanapampa/html.dynamiclayers.net/it/enros/css/owl.carousel.css	(from https://html.dynamiclayers.net/it/enros/index.html?storefront=envato-elements)
12:40:40	75689/75689	---M--	200	added ('OK')	text/css	etag:%225f8395a2-127a9%22	https://html.dynamiclayers.net/it/enros/css/animate.min.css	C:/Users/USUARIO/Documents/ecosemyanapampa/Ecosemyanapampa/html.dynamiclayers.net/it/enros/css/animate.min.css	(from https://html.dynamiclayers.net/it/enros/index.html?storefront=envato-elements)
12:40:40	18862/18862	---M--	200	added ('OK')	text/css	etag:%225f8395a6-49ae%22	https://html.dynamiclayers.net/it/enros/css/main.css	C:/Users/USUARIO/Documents/ecosemyanapampa/Ecosemyanapampa/html.dynamiclayers.net/it/enros/css/main.css	(from https://html.dynamiclayers.net/it/enros/index.html?storefront=envato-elements)
12:40:40	2067/2067	---M--	200	added ('OK')	text/css	etag:%225f8395ac-813%22	https://html.dynamiclayers.net/it/enros/css/responsive.css	C:/Users/USUARIO/Documents/ecosemyanapampa/Ecosemyanapampa/html.dynamiclayers.net/it/enros/css/responsive.css	(from https://html.dynamiclayers.net/it/enros/index.html?storefront=envato-elements)
